Date,Close
2019-09-13,49.04
2019-09-16,48.56
2019-09-17,48.96
2019-09-18,48.7
2019-09-19,49.32
2019-09-20,48.12
2019-09-23,48.25
2019-09-24,44.64
2019-09-25,45.74
2019-09-26,48.51
2019-09-27,48.43
2019-09-30,48.17
2019-10-01,48.94
2019-10-02,48.63
2019-10-03,46.61
2019-10-04,46.29
2019-10-07,47.54
2019-10-08,48.01
2019-10-09,48.91
2019-10-10,48.95
2019-10-11,49.58
2019-10-14,51.39
2019-10-15,51.58
2019-10-16,51.95
2019-10-17,52.39
2019-10-18,51.39
2019-10-21,50.7
2019-10-22,51.12
2019-10-23,50.94
2019-10-24,59.94
2019-10-25,65.63
2019-10-28,65.54
2019-10-29,63.24
2019-10-30,63
2019-10-31,62.98
2019-11-01,62.66
2019-11-04,63.49
2019-11-05,63.44
2019-11-06,65.32
2019-11-07,67.11
2019-11-08,67.43
2019-11-11,69.02
2019-11-12,69.99
2019-11-13,69.22
2019-11-14,69.87
2019-11-15,70.43
2019-11-18,70
2019-11-19,71.9
2019-11-20,70.44
2019-11-21,70.97
2019-11-22,66.61
2019-11-25,67.27
2019-11-26,65.78
2019-11-27,66.26
2019-11-29,65.99
2019-12-02,66.97
2019-12-03,67.24
2019-12-04,66.61
2019-12-05,66.07
2019-12-06,67.18
2019-12-09,67.91
2019-12-10,69.77
2019-12-11,70.54
2019-12-12,71.94
2019-12-13,71.68
2019-12-16,76.3
2019-12-17,75.8
2019-12-18,78.63
2019-12-19,80.81
2019-12-20,81.12
2019-12-23,83.84
2019-12-24,85.05
2019-12-26,86.19
2019-12-27,86.08
2019-12-30,82.94
2019-12-31,83.67
2020-01-02,86.05
2020-01-03,88.6
2020-01-06,90.31
2020-01-07,93.81
2020-01-08,98.43
2020-01-09,96.27
2020-01-10,95.63
2020-01-13,104.97
2020-01-14,107.58
2020-01-15,103.7
2020-01-16,102.7
2020-01-17,102.1
2020-01-21,109.44
2020-01-22,113.91
2020-01-23,114.44
2020-01-24,112.96
2020-01-27,111.6
2020-01-28,113.38
2020-01-29,116.2
2020-01-30,128.16
2020-01-31,130.11
2020-02-03,156
2020-02-04,177.41
2020-02-05,146.94
2020-02-06,149.79
2020-02-07,149.61
2020-02-10,154.26
2020-02-11,154.88
2020-02-12,153.46
2020-02-13,160.8
2020-02-14,160.01
2020-02-18,171.68
2020-02-19,183.48
2020-02-20,179.88
2020-02-21,180.2
2020-02-24,166.76
2020-02-25,159.98
2020-02-26,155.76
2020-02-27,135.8
2020-02-28,133.6
2020-03-02,148.72
2020-03-03,149.1
2020-03-04,149.9
2020-03-05,144.91
2020-03-06,140.7
2020-03-09,121.6
2020-03-10,129.07
2020-03-11,126.85
2020-03-12,112.11
2020-03-13,109.32
2020-03-16,89.01
2020-03-17,86.04
2020-03-18,72.24
2020-03-19,85.53
2020-03-20,85.51
2020-03-23,86.86
2020-03-24,101
2020-03-25,107.85
2020-03-26,105.63
2020-03-27,102.87
2020-03-30,100.43
2020-03-31,104.8
2020-04-01,96.31
2020-04-02,90.89
2020-04-03,96
2020-04-06,103.25
2020-04-07,109.09
2020-04-08,109.77
2020-04-09,114.6
2020-04-13,130.19
2020-04-14,141.98
2020-04-15,145.97
2020-04-16,149.04
2020-04-17,150.78
2020-04-20,149.27
2020-04-21,137.34
2020-04-22,146.42
2020-04-23,141.13
2020-04-24,145.03
2020-04-27,159.75
2020-04-28,153.82
2020-04-29,160.1
2020-04-30,156.38
2020-05-01,140.26
2020-05-04,152.24
2020-05-05,153.64
2020-05-06,156.52
2020-05-07,156.01
2020-05-08,163.88
2020-05-11,162.26
2020-05-12,161.88
2020-05-13,158.19
2020-05-14,160.67
2020-05-15,159.83
2020-05-18,162.73
2020-05-19,161.6
